id,reference_text,true_type,notes
B04,"Dosovitskiy, A., Beyer, L., Kolesnikov, A., Weissenborn, D., Zhai, X., Unterthiner, T., Dehghani, M., Minderer, M., Heigold, G., Gelly, S. and Uszkoreit, J. (2021) 'An image is worth 16x16 words: Transformers for image recognition at scale', International Conference on Learning Representations. doi:10.48550/arXiv.2010.11929",journal,missing volume with DOI
B05,"Liu, Y., Ott, M., Goyal, N., Du, J., Joshi, M., Chen, D., Levy, O., Lewis, M., Zettlemoyer, L. and Stoyanov, V. (2019) 'RoBERTa: A robustly optimized BERT pretraining approach', arXiv preprint, pp.1-13. doi:10.48550/arXiv.1907.11692",journal,missing volume preprint with DOI
B06,"Raffel, C., Shazeer, N., Roberts, A., Lee, K., Narang, S., Matena, M., Zhou, Y., Li, W. and Liu, P.J. (2020) 'Exploring the limits of transfer learning with a unified text-to-text transformer', Journal of Machine Learning Research, pp.1-67.",journal,missing volume JMLR
B07,"Touvron, H., Lavril, T., Izacard, G., Martinet, X., Lachaux, M.A., Lacroix, T., Rozière, B., Goyal, N., Hambro, E., Azhar, F. and Rodriguez, A. (2023) 'LLaMA: Open and efficient foundation language models', arXiv preprint. doi:10.48550/arXiv.2302.13971",journal,missing volume recent preprint
B08,"Chowdhery, A., Narang, S., Devlin, J., Bosma, M., Mishra, G., Roberts, A., Barham, P., Chung, H.W., Sutton, C., Gehrmann, S. and Schuh, P. (2022) 'PaLM: Scaling language modeling with pathways', arXiv preprint, pp.1-108.",journal,missing volume numeric ambiguity
C01,"Russell, S. and Norvig, P. (2020) Artificial Intelligence: A Modern Approach. 4th edn. Harlow: Pearson.",book,complete book metadata
C02,"Goodfellow, I., Bengio, Y. and Courville, A. (2016) Deep Learning. Cambridge: MIT Press.",book,complete book no edition
C03,"Bishop, C.M. (2006) Pattern Recognition and Machine Learning. New York: Springer.",book,complete book with location
C04,"Murphy, K.P. (2012) Machine Learning: A Probabilistic Perspective. Cambridge: MIT Press.",book,complete book
C05,"Hastie, T., Tibshirani, R. and Friedman, J. (2009) 'Statistical learning and sparse modeling', in The Elements of Statistical Learning. 2nd edn. New York: Springer, pp.1-18.",book_chapter,book chapter with page range
C06,"LeCun, Y., Bottou, L., Bengio, Y. and Haffner, P. (1998) 'Gradient-based learning applied to document recognition', in Proceedings of the IEEE, pp.2278-2324.",book_chapter,book chapter in proceedings
C07,"Schmidhuber, J. (2015) 'Deep learning in neural networks: An overview', in Neural Networks, pp.85-117. doi:10.1016/j.neunet.2014.09.003",book_chapter,book chapter with DOI
C08,"Bengio, Y., Simard, P. and Frasconi, P. (1994) 'Learning long-term dependencies with gradient descent is difficult', in IEEE Transactions on Neural Networks, pp.157-166.",conference,conference proceedings
D01,"Jones, A. (2021) 'Preprint title on neural architectures'. SSRN. doi:10.2139/ssrn.3847291",preprint,SSRN with DOI
D02,"Williams, R. (2020) 'Working paper on optimization methods'. SSRN Electronic Journal. doi:10.2139/ssrn.3652847",preprint,SSRN working paper
D03,"Chen, T., Kornblith, S., Norouzi, M. and Hinton, G. (2020) 'A simple framework for contrastive learning of visual representations'. arXiv preprint arXiv:2002.05709.",preprint,arXiv preprint
D04,"Ramesh, A., Pavlov, M., Goh, G., Gray, S., Voss, C., Radford, A., Chen, M. and Sutskever, I. (2021) 'Zero-shot text-to-image generation'. arXiv preprint arXiv:2102.12092.",preprint,arXiv recent
D05,"Schrittwieser, J., Antonoglou, I., Hubert, T., Simonyan, K., Sifre, L., Schmitt, S., Guez, A., Lockhart, E., Hassabis, D., Graepel, T. and Lillicrap, T. (2020) 'Mastering Atari, Go, chess and shogi by planning with a learned model'. PsyArXiv. doi:10.31234/osf.io/d9s7e",preprint,PsyArXiv preprint
D06,"Lake, B.M., Ullman, T.D., Tenenbaum, J.B. and Gershman, S.J. (2017) 'Building machines that learn and think like people'. SocArXiv. doi:10.31235/osf.io/ckm8n",preprint,SocArXiv preprint
D07,"Marcus, G. and Davis, E. (2019) 'Rebooting AI: Building artificial intelligence we can trust'. MIT Press Working Paper Series, pp.1-45.",preprint,institutional working paper
D08,"Chollet, F. (2019) 'On the measure of intelligence'. arXiv preprint arXiv:1911.01547.",preprint,arXiv intelligence measure
E01,"Google (2020) Search Engine. Available at: https://google.com (Accessed: 5 February 2026).",website,minimal metadata website
E02,"OpenAI (2023) ChatGPT. Available at: https://chat.openai.com (Accessed: 9 February 2026).",website,minimal metadata AI tool
E03,"TensorFlow (2021) Machine Learning Framework. Available at: https://tensorflow.org (Accessed: 1 January 2026).",website,minimal metadata framework
E04,"(2020) 'Deep learning tutorial'. Available at: https://deeplearning.ai/tutorial (Accessed: 15 March 2026).",website,missing author
E05,"Anonymous (2019) 'Neural network basics'. Available at: https://example.com/nn (Accessed: 20 April 2026).",website,anonymous author
E06,"Smith, J. 'Introduction to AI'. Available at: https://example.com/ai (Accessed: 10 May 2026).",website,missing date
E07,"PyTorch Documentation. Available at: https://pytorch.org/docs (Accessed: 25 June 2026).",website,missing author and date
E08,"(n.d.) 'Machine learning glossary'. Available at: https://ml-glossary.com (Accessed: 30 July 2026).",website,missing author and date
